ReviewVenue,PublicationVenue,Title,Authors,AuthorPDF,Abstract,ExplanationPage,SourceMaterials,Data,Video,DOI,PublicationYear,ConferenceYear,ConferenceTrack,ConferenceRoom,ConferenceDay,ConferenceSession,ConferenceTimeStart,ConferenceTimeEnd
TVCG,TVCG,Timelines Revisited: A Design Space and Considerations for Expressive Storytelling,"Matthew Brehmer, Bongshin Lee, Benjamin Bach, Nathalie Henry Riche, Tamara Munzner",http://www.aviz.fr/~bbach/timelines/Brehmer2016timelines.pdf,"There are many ways to visualize event sequences as timelines. In a storytelling context where the intent is to convey multiple narrative points, a richer set of timeline designs may be more appropriate than the narrow range that has been used for exploratory data analysis by the research community. Informed by a survey of 263 timelines, we present a design space for storytelling with timelines that balances expressiveness and effectiveness, identifying 14 design choices characterized by three dimensions: representation, scale, and layout. Twenty combinations of these choices are viable timeline designs that can be matched to different narrative points, while smooth animated transitions between narrative points allow for the presentation of a cohesive story, an important aspect of both interactive storytelling and data videos. We further validate this design space by realizing the full set of viable timeline designs and transitions in a proof-of-concept sandbox implementation that we used to produce seven example timeline stories. Ultimately, this work is intended to inform and inspire the design of future tools for storytelling with timelines.",https://timelinesrevisited.github.io/,http://timelinesrevisited.github.io/supplemental/,,video http://timelinesrevisited.github.io/supplemental/stories/routines.mp4,10.1109/TVCG.2016.2614803,2016,2017,InfoVis,301-D,Tuesday,Time and Space,5:15 PM,5:35 PM
TVCG,TVCG,A Survey on Visual Approaches for Analyzing Scientific Literature and Patents,"Paolo Federico, Florian Heimerl, Steffen Koch, Silvia Miksch",https://publik.tuwien.ac.at/files/PubDat_251231.pdf,"The increasingly large number of available writings describing technical and scientific progress, calls for advanced analytic tools for their efficient analysis. This is true for many application scenarios in science and industry and for different types of writings, comprising patents and scientific articles. Despite important differences between patents and scientific articles, both have a variety of common characteristics that lead to similar search and analysis tasks. However, the analysis and visualization of these documents is not a trivial task due to the complexity of the documents as well as the large number of possible relations between their multivariate attributes. In this survey, we review interactive analysis and visualization approaches of patents and scientific articles, ranging from exploration tools to sophisticated mining methods. In a bottom-up approach, we categorize them according to two aspects: (a) data type (text, citations, authors, metadata, and combinations thereof), and (b) task (finding and comparing single entities, seeking elementary relations, finding complex patterns, and in particular temporal patterns, and investigating connections between multiple behaviours). Finally, we identify challenges and research directions in this area that ask for future investigations.",http://ieg.ifs.tuwien.ac.at/~federico/LiPatVis/,,,vimeo 230834614,10.1109/TVCG.2016.2610422,2016,2017,VAST,207,Wednesday,Text Analytics,10:30 AM,10:50 AM
TVCG,TVCG,Uncertainty Visualization by Representative Sampling from Prediction Ensembles,"Le Liu, Alexander Boone, Ian Ruginski, Lace Padilla, Mary Hegarty, Sarah H. Creem-Regehr, William B. Thompson, Cem Yuksel, Donald H. House",,,,,,,10.1109/TVCG.2016.2607204,2016,2017,InfoVis,301-D,Tuesday,Techniques,3:20 PM,3:40 PM
TVCG,TVCG,Revealing Patterns and Trends of Mass Mobility through Spatial and Temporal Abstraction of Origin-Destination Movement Data,"Gennady Andrienko, Natalia Andrienko, Georg Fuchs, Jo Wood",http://openaccess.city.ac.uk/15488/1/andrienko_revealing_2016_AuthorCopy.pdf,"Origin-destination (OD) movement data describe moves or trips between spatial locations by specifying the origins, destinations, start, and end times, but not the routes travelled. For studying the spatio-temporal patterns and trends of mass mobility, individual OD moves of many people are aggregated into flows (collective moves) by time intervals. Time-variant flow data pose two difficult challenges for visualization and analysis. First, flows may connect arbitrary locations (not only neighbors), thus making a graph with numerous edge intersections, which is hard to visualize in a comprehensible way. Even a single spatial situation consisting of flows in one time step is hard to explore. The second challenge is the need to analyze long time series consisting of numerous spatial situations. We present an approach facilitating exploration of long-term flow data by means of spatial and temporal abstraction. It involves a special way of data aggregation, which allows representing spatial situations by diagram maps instead of flow maps, thus reducing the intersections and occlusions pertaining to flow maps. The aggregated data are used for clustering of time intervals by similarity of the spatial situations. Temporal and spatial displays of the clustering results facilitate the discovery of periodic patterns and longer-term trends in the mass mobility behavior.",,,,vimeo 230834183,10.1109/TVCG.2016.2616404,2016,2017,VAST,301-C,Tuesday,"Space, Time, Movement",3:00 PM,3:20 PM
TVCG,TVCG,An Exploratory Study of Word-Scale Graphics in Data-Rich Text Documents,"Pascal Goffin, Jeremy Boy, Wesley Willett, Petra Isenberg",https://hal.archives-ouvertes.fr/hal-01389998/document,"We contribute an investigation of the design and function of word-scale graphics and visualizations embedded in text documents. Word-scale graphics include both data-driven representations such as word-scale visualizations and sparklines, and non-data-driven visual marks. Their design, function, and use has so far received little research attention. We present the results of an open ended exploratory study with 9 graphic designers. The study resulted in a rich collection of different types of graphics, data provenance, and relationships between text, graphics, and data. Based on this corpus, we present a systematic overview of word-scale graphic designs, and examine how designers used them. We also discuss the designers’ goals in creating their graphics, and characterize how they used word-scale graphics to visualize data, add emphasis, and create alternative narratives. Building on these examples, we discuss implications for the design of authoring tools for word-scale graphics and visualizations, and explore how new authoring environments could make it easier for designers to integrate them into documents",,,,vimeo 230834366,10.1109/TVCG.2016.2618797,2016,2017,InfoVis,301-D,Thursday,Text and Machine Learning,9:10 AM,9:30 AM
TVCG,TVCG,vispubdata.org: A Metadata Collection about IEEE Visualization (VIS) Publications,"Petra Isenberg, Florian Heimerl, Steffen Koch, Tobias Isenberg, Panpan Xu, Charles Stolper, Michael Sedlmair, Jian Chen, Torsten Moller, John T. Stasko",https://hal.inria.fr/hal-01376597/file/Isenberg_2017_VMC.pdf,"We have created and made available to all a dataset with information about every paper that has appeared at the IEEE Visualization (VIS) set of conferences: InfoVis, SciVis, VAST, and Vis. The information about each paper includes its title, abstract, authors, and citations to other papers in the conference series, among many other attributes. This article describes the motivation for creating the dataset, as well as our process of coalescing and cleaning the data, and a set of three visualizations we created to facilitate exploration of the data. This data is meant to be useful to the broad data visualization community to help understand the evolution of the field and as an example document collection for text data visualization research.",http://vispubdata.org,https://docs.google.com/spreadsheets/d/1xgoOPu28dQSSGPIp_HHQs0uvvcyLNdkMF9XtRajhhxU/edit?usp=sharing,,vimeo 230834115,10.1109/TVCG.2016.2615308,2016,2017,VAST,207,Wednesday,Text Analytics,10:50 AM,11:10 AM
TVCG,TVCG,A Systematic Review of Experimental Studies on Data Glyphs,"Johannes Fuchs, Petra Isenberg, Anastasia Bezerianos, Daniel Keim",https://hal.inria.fr/hal-01378429/document,"We systematically reviewed 64 user-study papers on data glyphs to help researchers and practitioners gain an informed understanding of tradeoffs in the glyph design space. The glyphs we consider are individual representations of multi-dimensional data points, often meant to be shown in small-multiple settings. Over the past 60 years many different glyph designs were proposed and many of these designs have been subjected to perceptual or comparative evaluations. Yet, a systematic overview of the types of glyphs and design variations tested, the tasks under which they were analyzed, or even the study goals and results does not yet exist. In this paper we provide such an overview by systematically sampling and tabulating the literature on data glyph studies, listing their designs, questions, data, and tasks. In addition we present a concise overview of the types of glyphs and their design characteristics analyzed by researchers in the past, and a synthesis of the study results. Based on our meta analysis of all results we further contribute a set of design implications and a discussion on open research directions.",,,,vimeo 230834154,10.1109/TVCG.2016.2549018,2017,2017,InfoVis,105-ABC,Friday,Evaluation,8:50 AM,9:10 AM
TVCG,TVCG,Evaluating Cartogram Effectiveness,"Sabrina Nusrat, Muhammad Jawaherul Alam, Stephen Kobourov",https://arxiv.org/pdf/1504.02218.pdf,"Cartograms are maps in which areas of geographic regions, such as countries and states, appear in proportion to some variable of interest, such as population or income. Cartograms are popular visualizations for geo-referenced data that have been used for over a century to illustrate patterns and trends in the world around us. Despite the popularity of cartograms, and the large number of cartogram types, there are few studies evaluating the effectiveness of cartograms in conveying information. Based on a recent task taxonomy for cartograms, we evaluate four major types of cartograms: contiguous, non-contiguous, rectangular, and Dorling cartograms. We first evaluate the effectiveness of these cartogram types by quantitative performance analysis (time and error). Second, we collect qualitative data with an attitude study and by analyzing subjective preferences. Third, we compare the quantitative and qualitative results with the results of a metrics-based cartogram evaluation. Fourth, we analyze the results of our study in the context of cartography, geography, visual perception, and demography. Finally, we consider implications for design and possible improvements.",,,,vimeo 230834493,10.1109/TVCG.2016.2642109,2016,2017,InfoVis,105-ABC,Friday,Evaluation,9:30 AM,9:50 AM
TVCG,TVCG,A Statistical Direct Volume Rendering Framework for Visualization of Uncertain Data,"Elham Sakhaee, Alireza Entezari",https://www.cise.ufl.edu/~esakhaee/papers/VIS/uncertaintyDVR.pdf,"With uncertainty present in almost all modalities of data acquisition, reduction, transformation, and representation, there is a growing demand for mathematical analysis of uncertainty propagation in data processing pipelines. In this paper, we present a statistical framework for quantification of uncertainty and its propagation in the main stages of the visualization pipeline. We propose a novel generalization of Irwin-Hall distributions from the statistical viewpoint of splines and box-splines, that enables interpolation of random variables. Moreover, we introduce a probabilistic transfer function classification model that allows for incorporating probability density functions into the volume rendering integral. Our statistical framework allows for incorporating distributions from various sources of uncertainty which makes it suitable in a wide range of visualization applications. We demonstrate effectiveness of our approach in visualization of ensemble data, visualizing large datasets at reduced scale, iso-surface extraction, and visualization of noisy data.",,,,vimeo 230834547,10.1109/TVCG.2016.2637333,2016,2017,SciVis,207,Tuesday,Volume Rendering,4:35 PM,4:55 PM
TVCG,TVCG,The Subspace Voyager: Exploring High-Dimensional Data along a Continuum of Salient 3D Subspaces,"Bing Wang, Klaus Mueller",https://arxiv.org/ftp/arxiv/papers/1603/1603.04781.pdf,"Analyzing high-dimensional data and finding hidden patterns is a difficult problem and has attracted numerous research efforts. Automated methods can be useful to some extent but bringing the data analyst into the loop via interactive visual tools can help the discovery process tremendously. An inherent problem in this effort is that humans lack the mental capacity to truly understand spaces exceeding three spatial dimensions. To keep within this limitation, we describe a framework that decomposes a high-dimensional data space into a continuum of generalized 3D subspaces. Analysts can then explore these 3D subspaces individually via the familiar trackball interface while using additional facilities to smoothly transition to adjacent subspaces for expanded space comprehension. Since the number of such subspaces suffers from combinatorial explosion, we provide a set of data-driven subspace selection and navigation tools which can guide users to interesting subspaces and views. A subspace trail map allows users to manage the explored subspaces, keep their bearings, and return to interesting subspaces and views. Both trackball and trail map are each embedded into a word cloud of attribute labels which aid in navigation. We demonstrate our system via several use cases in a diverse set of application areas – cluster analysis and refinement, information discovery, and supervised training of classifiers. We also report on a user study that evaluates the usability of the various interactions our system provides.",,,,youtube c-yKtajfGQE,10.1109/TVCG.2017.2672987,2016,2017,VAST,301-C,Wednesday,High-dimensional Data,9:50 AM,10:10 AM
